TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
5.5,0.01,-0.29,-3.843,-0.29
5.6,0.015,-0.288,-3.774,-0.288
5.7,0.015,-0.286,-3.706,-0.286
5.8,0.01,-0.284,-3.623,-0.284
5.9,0.024,-0.282,-3.525,-0.282
6,0.01,-0.28,-3.457,-0.28
0.1,0.02,-0.398,-3.389,-0.398
0.2,0.01,-0.396,-3.643,-0.396
0.3,0.015,-0.394,-3.911,-0.394
0.4,0.015,-0.392,-4.146,-0.392
0.5,0.015,-0.39,-4.326,-0.39
0.6,0.015,-0.388,-4.482,-0.388
0.7,0.01,-0.386,-4.634,-0.386
0.8,0.015,-0.384,-4.751,-0.384
0.9,0,-0.382,-4.839,-0.382
1,0.02,-0.38,-4.946,-0.38
1.1,0.01,-0.378,-5.024,-0.378
1.2,0.02,-0.376,-5.078,-0.376
1.3,0.015,-0.374,-5.161,-0.374
1.4,0.01,-0.372,-5.19,-0.372
1.5,0.02,-0.37,-5.254,-0.37
1.6,0.02,-0.368,-5.298,-0.368
1.7,0.015,-0.366,-5.347,-0.366
1.8,0.02,-0.364,-5.342,-0.364
1.9,0.01,-0.362,-5.332,-0.362
2,0.015,-0.36,-5.347,-0.36
2.1,0.02,-0.358,-5.376,-0.358
2.2,0.02,-0.356,-5.386,-0.356
2.3,0.02,-0.354,-5.381,-0.354
2.4,0.015,-0.352,-5.366,-0.352
2.5,0.015,-0.35,-5.41,-0.35
2.6,0.005,-0.348,-5.371,-0.348
2.7,0.02,-0.346,-5.298,-0.346
2.8,0.015,-0.344,-5.283,-0.344
2.9,0.005,-0.342,-5.273,-0.342
3,0.015,-0.34,-5.254,-0.34
3.1,0.02,-0.338,-5.225,-0.338
3.2,0.015,-0.336,-5.21,-0.336
3.3,0.005,-0.334,-5.181,-0.334
3.4,0.015,-0.332,-5.127,-0.332
3.5,0.02,-0.33,-5.054,-0.33
3.6,0.02,-0.328,-5.029,-0.328
3.7,0.015,-0.326,-4.99,-0.326
3.8,0.02,-0.324,-4.922,-0.324
3.9,0.02,-0.322,-4.878,-0.322
4,0.01,-0.32,-4.849,-0.32
4.1,0.015,-0.318,-4.78,-0.318
4.2,0.015,-0.316,-4.761,-0.316
4.3,0.005,-0.314,-4.688,-0.314
4.4,0.02,-0.312,-4.585,-0.312
4.5,0.02,-0.31,-4.512,-0.31
4.6,0.015,-0.308,-4.453,-0.308
4.7,0.015,-0.306,-4.419,-0.306
4.8,0.005,-0.304,-4.331,-0.304
4.9,0.01,-0.302,-4.277,-0.302
5,0.02,-0.3,-4.209,-0.3
5.1,0.015,-0.298,-4.146,-0.298
5.2,0.02,-0.296,-4.082,-0.296
5.3,0.01,-0.294,-4.009,-0.294
5.4,0.015,-0.292,-3.945,-0.292
5.5,0.02,-0.29,-3.823,-0.29
5.6,0.02,-0.288,-3.755,-0.288
5.7,0.015,-0.286,-3.677,-0.286
5.8,0.015,-0.284,-3.604,-0.284
5.9,0.01,-0.282,-3.54,-0.282
6,0.01,-0.28,-3.481,-0.28
6.1,0.015,-0.278,-3.398,-0.278
6.2,0.015,-0.276,-3.345,-0.276
6.3,0.015,-0.274,-3.257,-0.274
6.4,0.01,-0.272,-3.237,-0.272
6.5,0.024,-0.27,-3.115,-0.27
6.6,0.02,-0.268,-3.047,-0.268
6.7,0.02,-0.266,-2.949,-0.266
6.8,0.02,-0.264,-2.861,-0.264
6.9,0.02,-0.262,-2.808,-0.262
7,0.02,-0.26,-2.744,-0.26
7.1,0.024,-0.258,-2.656,-0.258
7.2,0.02,-0.256,-2.573,-0.256
7.3,0.015,-0.254,-2.52,-0.254
7.4,0.02,-0.252,-2.446,-0.252
7.5,0.015,-0.25,-2.358,-0.25
7.6,0.02,-0.248,-2.266,-0.248
7.7,0.01,-0.246,-2.202,-0.246
7.8,0.02,-0.244,-2.119,-0.244
7.9,0.02,-0.242,-2.041,-0.242
8,0.024,-0.24,-1.992,-0.24
8.1,0.024,-0.238,-1.924,-0.238
8.2,0.024,-0.236,-1.841,-0.236
8.3,0.01,-0.234,-1.787,-0.234
8.4,0.015,-0.232,-1.694,-0.232
8.5,0.02,-0.23,-1.602,-0.23
8.6,0.015,-0.228,-1.519,-0.228
8.7,0.02,-0.226,-1.436,-0.226
8.8,0.02,-0.224,-1.357,-0.224
8.9,0.024,-0.222,-1.27,-0.222
9,0.01,-0.22,-1.201,-0.22
9.1,0.015,-0.218,-1.118,-0.218
9.2,0.02,-0.216,-1.06,-0.216
