DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
9.50,0.015,0.000,0.020,0.000
9.60,0.020,0.000,0.020,0.000
9.70,0.020,0.000,0.024,0.000
9.80,0.024,0.000,0.015,0.000
9.90,0.020,0.000,0.020,0.000
10.00,0.015,0.000,0.015,0.000
10.10,0.020,0.000,0.024,0.000
10.20,0.005,0.000,0.020,0.000
10.30,0.020,0.000,0.024,0.000
0.10,0.020,0.000,0.020,0.000
0.20,0.024,0.000,0.005,0.000
0.30,0.024,0.000,0.024,0.000
0.40,0.024,0.000,0.015,0.000
0.50,0.024,0.000,0.020,0.000
0.60,0.024,0.000,0.015,0.000
0.70,0.015,0.000,0.015,0.000
0.80,0.015,0.000,0.020,0.000
0.90,0.015,0.000,0.024,0.000
1.00,0.020,0.000,0.020,0.000
1.10,0.024,0.000,0.020,0.000
1.20,0.015,0.000,0.020,0.000
1.30,0.020,0.000,0.020,0.000
1.40,0.024,0.000,0.020,0.000
1.50,0.029,0.000,0.020,0.000
1.60,0.015,0.000,0.015,0.000
1.70,0.020,0.000,0.024,0.000
1.80,0.020,0.000,0.029,0.000
1.90,0.010,0.000,0.024,0.000
2.00,0.020,0.000,0.010,0.000
2.10,0.024,0.000,0.015,0.000
2.20,0.020,0.000,0.024,0.000
2.30,0.020,0.000,0.015,0.000
2.40,0.020,0.000,0.020,0.000
2.50,0.024,0.000,0.015,0.000
2.60,0.015,0.000,0.015,0.000
2.70,0.015,0.000,0.015,0.000
2.80,0.020,0.000,0.024,0.000
2.90,0.020,0.000,0.015,0.000
3.00,0.015,0.000,0.020,0.000
3.10,0.015,0.000,0.015,0.000
3.20,0.015,0.000,0.015,0.000
3.30,0.024,0.000,0.024,0.000
3.40,0.020,0.000,0.024,0.000
3.50,0.015,0.000,0.020,0.000
3.60,0.024,0.000,0.020,0.000
3.70,0.015,0.000,0.024,0.000
3.80,0.020,0.000,0.020,0.000
3.90,0.020,0.000,0.020,0.000
4.00,0.024,0.000,0.024,0.000
4.10,0.024,0.000,0.015,0.000
4.20,0.010,0.000,0.024,0.000
4.30,0.015,0.000,0.015,0.000
4.40,0.015,0.000,0.020,0.000
4.50,0.020,0.000,0.020,0.000
4.60,0.020,-0.500,0.024,-0.500
4.70,0.020,-0.500,-1.641,-0.500
4.80,0.020,-0.500,-2.769,-0.500
4.90,0.020,-0.500,-3.555,-0.500
5.00,0.010,-0.500,-4.155,-0.500
5.10,0.024,-0.500,-4.648,-0.500
5.20,0.015,-0.500,-5.049,-0.500
5.30,0.020,-0.500,-5.420,-0.500
5.40,0.020,-0.500,-5.781,-0.500
5.50,0.020,-0.500,-6.069,-0.500
5.60,0.015,-0.500,-6.338,-0.500
