DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
6.60,0.020,0.250,1.914,0.250
6.70,0.015,0.250,1.924,0.250
6.80,0.024,0.250,1.914,0.250
6.90,0.020,0.250,1.904,0.250
7.00,0.020,0.250,1.885,0.250
7.10,0.015,0.250,1.880,0.250
7.20,0.015,0.250,1.895,0.250
7.30,0.020,0.250,1.914,0.250
7.40,0.015,0.250,1.909,0.250
7.50,0.020,0.250,1.899,0.250
7.60,0.024,0.250,1.904,0.250
7.70,0.010,0.250,1.895,0.250
7.80,0.020,0.250,1.870,0.250
7.90,0.015,0.250,1.841,0.250
8.00,0.015,0.250,1.841,0.250
8.10,0.020,0.250,1.821,0.250
8.20,0.015,0.250,1.826,0.250
8.30,0.020,0.250,1.841,0.250
8.40,0.015,0.250,1.826,0.250
8.50,0.024,0.250,1.870,0.250
8.60,0.020,0.250,1.846,0.250
8.70,0.015,0.250,1.890,0.250
8.80,0.010,0.250,1.870,0.250
8.90,0.015,0.250,1.904,0.250
9.00,0.010,0.250,1.899,0.250
9.10,0.005,0.250,1.895,0.250
9.20,0.015,0.250,1.885,0.250
9.30,0.029,0.250,1.885,0.250
9.40,0.005,0.250,1.860,0.250
9.50,0.015,0.250,1.885,0.250
9.60,0.015,0.250,1.870,0.250
9.70,0.015,0.250,1.885,0.250
9.80,0.024,0.250,1.895,0.250
9.90,0.015,0.250,1.899,0.250
10.00,0.015,0.250,1.899,0.250
10.10,0.020,0.250,1.880,0.250
10.20,0.020,0.250,1.860,0.250
10.30,0.020,0.250,1.846,0.250
10.40,0.020,0.250,1.841,0.250
10.50,0.024,0.250,1.821,0.250
10.60,0.020,0.250,1.831,0.250
10.70,0.020,0.250,1.846,0.250
10.80,0.024,0.250,1.846,0.250
10.90,0.024,0.250,1.895,0.250
11.00,0.024,0.250,1.865,0.250
11.10,0.015,0.250,1.895,0.250
11.20,0.020,0.250,1.899,0.250
11.30,0.020,0.250,1.904,0.250
11.40,0.020,0.250,1.914,0.250
11.50,0.020,0.250,1.904,0.250
11.60,0.010,0.250,1.885,0.250
11.70,0.029,0.250,1.899,0.250
11.80,0.020,0.250,1.899,0.250
11.90,0.024,0.250,1.909,0.250
12.00,0.020,0.250,1.895,0.250
12.10,0.024,0.250,1.895,0.250
12.20,0.005,0.250,1.895,0.250
12.30,0.015,0.250,1.899,0.250
12.40,0.010,0.250,1.895,0.250
12.50,0.020,0.250,1.880,0.250
12.60,0.020,0.250,1.885,0.250
12.70,0.015,0.250,1.831,0.250
12.80,0.024,0.250,1.831,0.250
12.90,0.029,0.250,1.821,0.250
13.00,0.020,0.250,1.821,0.250
13.10,0.020,0.250,1.831,0.250
13.20,0.015,0.250,1.836,0.250
13.30,0.020,0.250,1.880,0.250
13.40,0.020,0.250,1.870,0.250
13.50,0.020,0.250,1.890,0.250
13.60,0.020,0.250,1.924,0.250
13.70,0.020,0.250,1.909,0.250
13.80,0.020,0.250,1.919,0.250
13.90,0.010,0.250,1.924,0.250
14.00,0.020,0.250,1.904,0.250
14.10,0.015,0.250,1.919,0.250
14.20,0.020,0.250,1.914,0.250
14.30,0.020,0.250,1.919,0.250
14.40,0.020,0.250,1.938,0.250
14.50,0.015,0.250,1.924,0.250
14.60,0.024,0.250,1.929,0.250
14.70,0.020,0.250,1.938,0.250
14.80,0.020,0.250,1.904,0.250
14.90,0.020,0.250,1.914,0.250
15.00,0.024,0.250,1.895,0.250
15.10,0.020,0.250,1.870,0.250
15.20,0.024,0.250,1.865,0.250
15.30,0.020,0.250,1.865,0.250
15.40,0.010,0.250,1.846,0.250
15.50,0.015,0.250,1.860,0.250
15.60,0.024,0.250,1.860,0.250
15.70,0.020,0.250,1.914,0.250
15.80,0.029,0.250,1.895,0.250
15.90,0.024,0.250,1.938,0.250
16.00,0.015,0.250,1.924,0.250
16.10,0.015,0.250,1.929,0.250
16.20,0.010,0.250,1.934,0.250
16.30,0.024,0.250,1.934,0.250
16.40,0.024,0.250,1.909,0.250
16.50,0.015,0.250,1.904,0.250
16.60,0.015,0.250,1.929,0.250
16.70,0.020,0.250,1.909,0.250
16.80,0.015,0.250,1.934,0.250
16.90,0.024,0.250,1.929,0.250
17.00,0.024,0.250,1.934,0.250
17.10,0.020,0.250,1.909,0.250
17.20,0.015,0.250,1.904,0.250
17.30,0.010,0.250,1.890,0.250
17.40,0.015,0.250,1.875,0.250
17.50,0.015,0.250,1.870,0.250
17.60,0.015,0.250,1.841,0.250
17.70,0.015,0.250,1.875,0.250
17.80,0.020,0.250,1.855,0.250
17.90,0.020,0.250,1.855,0.250
18.00,0.010,0.250,1.860,0.250
18.10,0.020,0.250,1.880,0.250
18.20,0.015,0.250,1.899,0.250
18.30,0.005,0.250,1.919,0.250
18.40,0.029,0.250,1.899,0.250
18.50,0.010,0.250,1.919,0.250
18.60,0.010,0.250,1.904,0.250
18.70,0.020,0.250,1.914,0.250
18.80,0.010,0.250,1.899,0.250
18.90,0.020,0.250,1.890,0.250
19.00,0.020,0.250,1.904,0.250
19.10,0.020,0.250,1.914,0.250
19.20,0.015,0.250,1.919,0.250
19.30,0.020,0.250,1.924,0.250
19.40,0.024,0.250,1.924,0.250
19.50,0.015,0.250,1.909,0.250
19.60,0.015,0.250,1.914,0.250
19.70,0.020,0.250,1.895,0.250
19.80,0.020,0.250,1.885,0.250
19.90,0.020,0.250,1.846,0.250
20.00,0.029,0.250,1.851,0.250
20.10,0.015,0.250,1.821,0.250
20.20,0.020,0.250,1.846,0.250
20.30,0.015,0.250,1.836,0.250
20.40,0.020,0.250,1.855,0.250
20.50,0.010,0.250,1.855,0.250
20.60,0.020,0.250,1.875,0.250
20.70,0.020,0.250,1.880,0.250
20.80,0.015,0.250,1.885,0.250
20.90,0.020,0.250,1.851,0.250
21.00,0.010,0.250,1.870,0.250
21.10,0.015,0.250,1.851,0.250
21.20,0.020,0.250,1.860,0.250
21.30,0.024,0.250,1.870,0.250
21.40,0.020,0.250,1.860,0.250
21.50,0.010,0.250,1.851,0.250
21.60,0.020,0.250,1.851,0.250
21.70,0.010,0.250,1.870,0.250
21.80,0.015,0.250,1.851,0.250
21.90,0.029,0.250,1.860,0.250
22.00,0.020,0.250,1.846,0.250
22.10,0.024,0.250,1.846,0.250
22.20,0.015,0.250,1.797,0.250
22.30,0.024,0.250,1.802,0.250
22.40,0.005,0.250,1.787,0.250
22.50,0.005,0.250,1.782,0.250
22.60,0.010,0.250,1.812,0.250
22.70,0.005,0.250,1.787,0.250
22.80,0.020,0.250,1.802,0.250
22.90,0.010,0.250,1.816,0.250
23.00,0.024,0.250,1.841,0.250
23.10,0.020,0.250,1.855,0.250
23.20,0.005,0.250,1.846,0.250
23.30,0.015,0.250,1.860,0.250
23.40,0.020,0.250,1.855,0.250
23.50,0.015,0.250,1.880,0.250
23.60,0.015,0.250,1.860,0.250
23.70,0.010,0.250,1.870,0.250
23.80,0.020,0.250,1.860,0.250
23.90,0.015,0.250,1.890,0.250
24.00,0.024,0.250,1.865,0.250
24.10,0.020,0.250,1.890,0.250
24.20,0.020,0.250,1.890,0.250
24.30,0.020,0.250,1.909,0.250
24.40,0.020,0.250,1.875,0.250
24.50,0.024,0.250,1.875,0.250
24.60,0.015,0.250,1.836,0.250
24.70,0.020,0.250,1.831,0.250
24.80,0.029,0.250,1.812,0.250
24.90,0.015,0.250,1.826,0.250
25.00,0.020,0.250,1.831,0.250
25.10,0.024,0.250,1.836,0.250
25.20,0.015,0.250,1.846,0.250
25.30,0.010,0.250,1.860,0.250
25.40,0.015,0.250,1.895,0.250
25.50,0.029,0.250,1.895,0.250
25.60,0.015,0.250,1.914,0.250
25.70,0.024,0.250,1.914,0.250
25.80,0.015,0.250,1.924,0.250
25.90,0.020,0.250,1.948,0.250
26.00,0.015,0.250,1.895,0.250
26.10,0.010,0.250,1.938,0.250
26.20,0.020,0.250,1.929,0.250
26.30,0.020,0.250,1.948,0.250
26.40,0.010,0.250,1.943,0.250
26.50,0.020,0.250,1.948,0.250
26.60,0.015,0.250,1.948,0.250
26.70,0.015,0.250,1.953,0.250
26.80,0.010,0.250,1.938,0.250
26.90,0.010,0.250,1.924,0.250
27.00,0.024,0.250,1.919,0.250
27.10,0.010,0.250,1.909,0.250
27.20,0.010,0.250,1.880,0.250
27.30,0.010,0.250,1.909,0.250
27.40,0.015,0.250,1.880,0.250
27.50,0.020,0.250,1.895,0.250
27.60,0.020,0.250,1.899,0.250
27.70,0.020,0.250,1.943,0.250
27.80,0.020,0.250,1.919,0.250
27.90,0.024,0.250,1.938,0.250
28.00,0.015,0.250,1.934,0.250
28.10,0.020,0.250,1.943,0.250
28.20,0.024,0.250,1.934,0.250
28.30,0.015,0.250,1.929,0.250
28.40,0.015,0.250,1.914,0.250
28.50,0.015,0.250,1.929,0.250
