DATA LOGGER INTERVAL @ 100ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
1.50,0.015,0.000,0.020,0.000
1.60,0.029,0.000,0.015,0.000
1.70,0.020,0.000,0.024,0.000
1.80,0.020,0.000,0.024,0.000
1.90,0.005,0.000,0.005,0.000
2.00,0.024,0.000,0.015,0.000
2.10,0.020,0.000,0.024,0.000
2.20,0.015,0.000,0.000,0.000
2.30,0.020,0.000,0.020,0.000
2.40,0.015,0.000,0.029,0.000
2.50,0.020,0.000,0.020,0.000
2.60,0.015,0.000,0.024,0.000
2.70,0.020,0.000,0.024,0.000
2.80,0.024,0.000,0.015,0.000
2.90,0.024,0.000,0.015,0.000
3.00,0.020,0.000,0.020,0.000
3.10,0.020,0.000,0.020,0.000
3.20,0.024,0.000,0.015,0.000
3.30,0.015,0.000,0.024,0.000
3.40,0.020,0.000,0.024,0.000
3.50,0.015,0.000,0.015,0.000
3.60,0.024,0.000,0.015,0.000
3.70,0.020,0.000,0.015,0.000
3.80,0.015,0.000,0.020,0.000
3.90,0.020,0.000,0.020,0.000
4.00,0.015,0.000,0.015,0.000
4.10,0.020,0.000,0.015,0.000
4.20,0.029,0.000,0.015,0.000
4.30,0.024,0.000,0.020,0.000
4.40,0.020,0.000,0.020,0.000
4.50,0.024,0.000,0.015,0.000
4.60,0.015,0.000,0.020,0.000
4.70,0.029,0.000,0.015,0.000
4.80,0.015,0.000,0.020,0.000
4.90,0.020,0.000,0.005,0.000
5.00,0.024,0.000,0.020,0.000
5.10,0.020,0.000,0.010,0.000
5.20,0.015,0.000,0.010,0.000
5.30,0.029,0.000,0.015,0.000
5.40,0.020,0.000,0.010,0.000
5.50,0.024,0.000,0.015,0.000
5.60,0.020,0.000,0.020,0.000
5.70,0.024,0.000,0.020,0.000
5.80,0.015,0.000,0.024,0.000
5.90,0.020,0.000,0.010,0.000
6.00,0.029,0.000,0.010,0.000
6.10,0.015,0.000,0.020,0.000
6.20,0.029,0.000,0.024,0.000
6.30,0.024,0.000,0.015,0.000
6.40,0.015,0.000,0.020,0.000
6.50,0.020,0.000,0.020,0.000
6.60,0.020,0.000,0.024,0.000
6.70,0.015,0.000,0.024,0.000
6.80,0.024,0.000,0.020,0.000
6.90,0.020,0.000,0.020,0.000
7.00,0.015,0.000,0.020,0.000
7.10,0.020,0.000,0.020,0.000
7.20,0.020,0.000,0.029,0.000
7.30,0.020,0.000,0.015,0.000
7.40,0.020,0.000,0.024,0.000
7.50,0.005,0.000,0.020,0.000
7.60,0.020,0.000,0.015,0.000
7.70,0.024,0.000,0.015,0.000
7.80,0.020,0.000,0.024,0.000
7.90,0.005,0.000,0.010,0.000
8.00,0.015,0.000,0.015,0.000
8.10,0.005,0.000,0.020,0.000
8.20,0.000,0.000,0.010,0.000
8.30,0.015,0.000,0.020,0.000
8.40,0.020,0.000,0.020,0.000
8.50,0.015,0.000,0.020,0.000
8.60,0.015,0.000,0.020,0.000
8.70,0.020,0.000,0.015,0.000
8.80,0.015,0.000,0.020,0.000
8.90,0.029,0.000,0.024,0.000
9.00,0.010,0.000,0.024,0.000
9.10,0.015,0.000,0.010,0.000
9.20,0.015,0.000,0.024,0.000
9.30,0.020,0.000,0.015,0.000
9.40,0.020,0.000,0.015,0.000
9.50,0.020,0.000,0.015,0.000
9.60,0.020,0.000,0.024,0.000
9.70,0.020,0.000,0.020,0.000
9.80,0.024,0.480,0.020,0.480
9.90,0.005,0.480,1.733,0.480
10.00,0.015,0.480,2.881,0.480
10.10,0.020,0.480,3.711,0.480
10.20,0.020,0.480,4.336,0.480
10.30,0.024,0.480,4.849,0.480
10.40,0.020,0.480,5.254,0.480
10.50,0.015,0.480,5.654,0.480
10.60,0.005,0.480,5.947,0.480
10.70,0.020,0.480,6.255,0.480
10.80,0.020,0.480,6.470,0.480
10.90,0.020,0.480,6.733,0.480
11.00,0.015,0.480,6.938,0.480
11.10,0.020,0.480,7.168,0.480
11.20,0.015,0.480,7.271,0.480
11.30,0.015,0.480,7.441,0.480
11.40,0.020,0.480,7.554,0.480
11.50,0.020,0.480,7.705,0.480
11.60,0.015,0.480,7.847,0.480
11.70,0.020,0.480,7.983,0.480
11.80,0.010,0.480,8.062,0.480
11.90,0.000,0.480,8.188,0.480
12.00,0.005,0.480,8.252,0.480
12.10,0.024,0.480,8.340,0.480
12.20,0.024,0.480,8.452,0.480
12.30,0.005,0.480,8.496,0.480
12.40,0.020,0.480,8.623,0.480
12.50,0.015,0.480,8.618,0.480
12.60,0.010,0.480,8.716,0.480
12.70,0.010,0.480,8.794,0.480
12.80,0.015,0.480,8.818,0.480
12.90,0.020,0.480,8.877,0.480
13.00,0.020,0.480,8.911,0.480
13.10,0.015,0.480,8.960,0.480
13.20,0.010,0.480,9.014,0.480
13.30,0.015,0.480,9.082,0.480
13.40,0.015,0.480,9.136,0.480
13.50,0.015,0.480,9.136,0.480
13.60,0.005,0.480,9.165,0.480
13.70,0.020,0.480,9.243,0.480
13.80,0.015,0.480,9.248,0.480
